There were varying degrees of Romanization throughout Roman Dacia.	達契亞行省各處都有不同程度的羅馬化。
Specialist miners (the Pirusti tribesmen) were brought in from Dalmatia.	專業礦工 (皮魯斯蒂部落成員) 從達爾馬提亞引進。
These Dalmatian miners were kept in sheltered communities (Vicus Pirustarum) and were under the jurisdiction of their own tribal leadership (with individual leaders referred to as princeps).	這些達爾馬提亞礦工被看守在庇護社區 (維庫斯皮魯斯塔魯姆) 並由他們自己的部落領導管轄 (個別領導者稱為第一公民)。
An estimated 50,000 troops were stationed in Dacia at its height.	在巔峰時期，估計有 50,000 支部隊駐紮在達契亞。
At the close of Trajan's first campaign in Dacia in 102, he stationed one legion at Sarmizegetusa Regia.	102 年，圖拉真在達契亞的第一場戰役結束時，將一支軍團駐紮在薩爾米澤傑圖薩雷吉亞。
With the conclusion of Trajan's conquest of Dacia, he stationed at least two legions in the new province – the Legio IV Flavia Felix positioned at Berzobis, and the Legio XIII Gemina stationed at Apulum.	圖拉真對達契亞的征戰結束後，在新的省駐紮了至少兩支軍團──幸運者弗拉維烏斯第四軍團駐紮在貝爾索比斯，而第十三雙子軍團駐紮在阿普魯姆。
It has been conjectured that there was a third legion stationed in Dacia at the same time, the Legio I Adiutrix.	據推測，同時還有第三支軍團駐紮在達契亞，也就是第一輔助軍團。
However, there is no evidence to indicate when or where it was stationed, and it is unclear whether the legion was fully present, or whether it was only the vexillationes who were stationed in the province.	但是沒有證據顯示它在何時或何處駐紮，因此無法確定該軍團是否充分存在，或者它是否僅為駐紮在該省的支隊。
Hadrian, the subsequent emperor, shifted the fourth legion (Legio IV Flavia Felix) from Berzobis to Singidunum in Moesia Superior, suggesting that Hadrian believed the presence of one legion in Dacia would be sufficient to ensure the security of the province.	繼任的皇帝哈德良將第四軍團 (幸運者弗拉維烏斯第四軍團) 從貝爾索比斯調到上默西亞的辛吉杜努姆，這顯示哈德良認為達契亞有一個軍團就足以確保該省的安全。
The Marcomannic Wars that erupted north of the Danube forced Marcus Aurelius to reverse this policy, permanently transferring the Legio V Macedonica from Troesmis (modern Iglița in Romania) in Moesia Inferior to Potaissa in Dacia.	在多瑙河北部爆發的馬科曼尼戰爭迫使馬可·奧理略逆轉了此政策；他將第五馬其頓軍團從下默西亞的特洛埃斯米斯 (現今在羅馬尼亞的伊斯特拉) 永久調動至達契亞的波塔薩。
The Kingston Fossil Plant is located on a peninsula at the junction of the Emory River (to the north) and Clinch River (to the south and east), just over 4 miles (6.4 km) upstream from the latter's mouth along the Tennessee River.	金斯頓化石燃料發電廠位於埃默里河 (以北) 和克林奇河 (以南和以東) 匯合處的半島上，就在後者的河口上游 4 英哩 (6.4 公里) 處田納西河岸上。
Watts Bar Dam, located along the Tennessee 38 miles (61 km) downstream from the mouth of the Clinch, impounds a reservoir (Watts Bar Lake) that spans a 72-mile (116 km) stretch of the Tennessee (to Fort Loudoun Dam), the lower 23 miles (37 km) of the Clinch (to Melton Hill Dam), and the lower 12 miles (19 km) of the Emory.	瓦茲巴爾水壩位於克林奇河河口下游 38 英哩 (61 公里) 的田納西河沿岸，所圍起的貯水區 (瓦茲巴爾湖) 橫跨田納西河 (往勞登堡水壩) 72 英哩 (116 公里) 河段、克林奇河 (往梅爾頓丘水壩) 下方 23 英哩 (37 公里)，以及埃默里河下方 12 英哩 (19 公里)。
The plant, originally known as the Kingston Steam Plant, began operations in 1954, primarily to provide electricity to atomic energy installations at nearby Oak Ridge.	這間發電廠原本稱為金斯頓蒸氣發電廠，在 1954 年開始營運，主要為附近橡樹嶺的核子動力設備提供電力。
The plant contains nine units with a combined generating capacity of 1,398 megawatts, and burns about 14,000 tonnes (14,000,000 kg) of coal every day.	發電廠包含九個機組，總發電量 1,398 百萬瓦特，且每天燃燒約 14,000 公噸 (14,000,000 公斤) 的煤。
The plant's ash pond disposal area is located immediately north of the plant along the Emory River shore.	發電廠的灰塘處置區就位在發電廠北邊的埃默里河河岸上。
The ash pond, which was impounded by a dike that rose 60 feet (18 m) above the winter level and 741 feet (226 m) above sea level, contained a watery slurry of fly ash generated by the burning of finely ground coal at the power plant.	灰塘以冬季水位以上 60 英呎 (18 公尺)、海平面以上 741 英呎 (226 公尺) 的堤防圍起，含有發電廠燃燒精細研磨的煤所產生的飛灰泥漿。
Fly ash is the fine particulate pollutants produced by the combustion of coal, which are collected rather than allowing them to escape into the atmosphere, then mixed with water and pumped into a retaining pond, where the ash gradually settles to the bottom.	飛灰是燃煤所產生的精細粒狀汙染物，不能讓它逸出到大氣中，而是必須收集起來，然後與水混合並灌注到滯留池中，讓灰燼在池內逐漸沉澱到底部。
Once the particulate matter settles out, it is dredged and moved to drying cells.	一旦粒狀物沉澱出來，就會將它挖出並移至乾燥槽。
The 84-acre (0.34 km²) unlined above-ground dredge cell was surrounded by 60-foot (18 m) tall earthen dikes.	這個 84 英畝 (0.34 平方公里) 無襯砌的地上疏濬槽是用 60 英呎 (18 公尺) 高的土製堤防圍住。
The dike breach occurred at the northwest corner of the dewatering pond, overlooking the Swan Pond Creek spillway.	堤壩決口發生在脫水槽的西北角，就在天鵝池溪溢洪道的上方。
TVA had reportedly known about the dangers of using wet storage ponds for coal ash since a 1969 spill in Virginia in which coal ash seeped into the Clinch River and killed countless fish.	據報導，TVA 自 1969 年維吉尼亞州外洩事件後就瞭解到使用濕式煤灰儲存槽的危險性；當時在維吉尼亞州，煤灰滲進克林奇河並殺死了無數的魚隻。
In the 1980s, TVA engineers raised concerns about the stability of ash ponds.	1980 年代，TVA 工程師曾提出有關灰塘穩定性的疑慮。
The utility repeatedly found leaks in levees and seepage in the soil at many of their ash ponds, including the ones at Kingston.	這間公用事業公司屢次在其多個灰塘發現堤防裂縫和土壤滲流，包括在金斯頓的灰塘。
However, TVA continued to make small repairs instead of switch to dry storage systems which would have cost ratepayers tens of millions.	但是，TVA 仍繼續進行小型維修，而不是改用可能會花費地方納稅人數千萬元的乾式儲存系統。
At the time of the disaster, TVA was using wet storage at six of their 11 coal-fired power plants.	發生災害的當下，TVA 正在其 11 座燃煤發電廠中的六座使用濕式儲存。
Leaks at the Kingston ash ponds had reportedly been taking place since the early 1980s, and local residents said that the spill was not a unique occurrence.	據報導，金斯頓灰塘的裂縫從 1980 年代初期就一直在發生，當地居民也表示滲漏並非單一事件。
The 1960s-era pond had been observed leaking and being repaired nearly every year since 2001.	自 2001 年起，幾乎每年都有人發現這座 1960 年代的池塘發生滲漏和進行維修。
The two worst leaks occurred in 2003 and 2006 in which TVA suspended all ash deposits in the ponds to allow the dredge cells to dry out and stabilize.	兩次最嚴重的滲漏發生在 2003 年和 2006 年，當時 TVA 暫停池塘中的所有灰渣沉積，以便疏濬槽乾燥並穩定下來。
An October 2008 inspection report had identified a "minor leak" in the faulty wall, but the report was not finalized.	2008 年 10 月的一項檢查報告在問題牆面發現一個「小型滲漏」，但該報告並未獲得最終確認。
The spill began sometime between midnight and 1 a.m.	滲漏是在午夜到上午 1 點之間的某個時候開始。
In January 1973 Young was made Chief of the Space Shuttle Branch of the Astronaut Office.	1973 年 1 月，楊恩獲任太空人辦公室太空梭分部主任。
In January 1974, he became Chief of the Astronaut Office after the retirement of Alan Shepard.	1974 年 1 月，他在艾倫·雪帕德退休之後成為太空人辦公室主任。
Young flew two missions of the Space Shuttle, both aboard the Space Shuttle Columbia.	楊恩飛行過兩個太空梭任務，兩者都是在哥倫比亞號太空梭上。
He commanded the program's 1981 maiden orbital flight, STS-1, and in 1983 commanded STS-9, which carried the first Spacelab module.	他曾指揮該計畫的 1981 年初次軌道飛行 (STS-1)，並在 1983 年指揮 STS-9，運送了第一間太空實驗室模組。
In 1986 he was in line to make a record seventh space flight on STS-61-J to deploy the Hubble Space Telescope, but the Space Shuttle Challenger disaster earlier that year had delayed NASA's schedule.	1986 年，他有相當大的機會能夠在 STS-61-J 創下第七次太空飛行以部署哈伯太空望遠鏡的紀錄，但是該年年初的挑戰者號太空梭災難延誤了 NASA 的行程。
Young was openly critical of NASA management following the Challenger disaster, and in April 1987 was made Special Assistant to JSC Director Aaron Cohen for Engineering, Operations and Safety.	楊恩在挑戰者災難之後公開批評 NASA 的管理部門，並在 1987 年 4 月獲任 JSC 主任亞倫·科恩在工程、營運及安全的特別助理。
NASA denied that his criticism triggered the move, although Young and industry insiders believed that was the reason for the reassignment.	NASA 否認他的批評引發此舉，雖然楊恩和業界內部人士認為那就是重新派任的原因。
In February 1996, he was assigned as Associate Director (Technical) JSC.	1996 年 2 月，他獲指派為 JSC 副主任 (技術)。
During his NASA career, Young logged more than 15,000 hours of training, mostly in simulators, to prepare for positions on eleven spaceflights in prime and backup crew positions.	在楊恩的 NASA 職業生涯期間，他記錄了超過 15,000 小時的訓練，大部分是在模擬機內，目的是為十一場太空飛行的首選和後備職位做好準備。
Young worked for NASA for 42 years and announced his retirement on December 7, 2004.	楊恩在 NASA 工作了 42 年，並在 2004 年 12 月 7 日宣布退休。
He retired on December 31, 2004, at the age of 74, but continued to attend the Monday Morning Meeting at the Astronaut Office at JSC for several years thereafter.	他在 2004 年 12 月 31 日時退休，當時 74 歲，但之後數年仍繼續參加 JSC 太空人辦公室的週一晨會。
He logged more than 15,275 hours flying time in props, jets, helicopters, and rocket jets; more than 9,200 hours in T-38s; and 835 hours in spacecraft during six space flights.	他在輔具、噴射機、直升機和火箭噴射器記錄了超過 15,275 小時的飛行時間；在 T-38 有超過 9,200 小時；而在六次太空飛行期間的太空船內有 835 小時。
On April 12, 2006, Young appeared at the 25th anniversary of the STS-1 launch at the Kennedy Space Center Visitor Complex, along with pilot Robert Crippen.	2006 年 4 月 12 日，楊恩在甘迺迪太空中心參觀園區的 STS-1 發射 25 週年紀念與駕駛員羅伯特·克里彭一起現身。
The two spoke of their experiences during the flight.	他們兩位都談到飛行期間的體驗。
In 2012, Young published an autobiography, Forever Young.	2012 年，楊恩出版了自傳《永遠的楊恩》。
Young married Barbara White of Savannah, Georgia, and they had two children, Sandra and John.	楊恩與來自喬治亞州薩凡納的芭芭拉·懷特結婚，育有兩名子女，珊卓拉和約翰。
They were divorced in 1972 after 16 years of marriage.	他們在結婚 16 年之後於 1972 年離婚。
He later married Susy Feldman, and lived in El Lago, Texas, a suburb of Houston.	他之後與蘇西·費爾德曼結婚，並居住在德州休士頓的郊區艾爾拉哥
Young died on January 5, 2018, at his home in Houston of complications from pneumonia.	楊恩於 2018 年 1 月 5 日因肺炎併發症逝世於他在休士頓的家中。
He was 87.	享年 87 歲。
Abbotsford Bridge is a steel Allan truss bridge that is about 240 m (790 ft) in length.	艾柏茲弗德橋是鋼製艾倫式桁架橋，長度約 240 公尺 (790 英呎)。
The bridge also contains a single lift span about 20 m (66 ft) in length, which is still in working order.	這座橋也含有長度約 20 公尺 (66 英呎) 的單一升降節間，而且至今仍正常運作。
It is two lanes wide through most of its length, but the lift span is only capable of carrying a single lane.	它的全長大部分為兩車道寬，但是升降節間只能載運單一車道。
The entire bridge has been marked with a single lane and has traffic lights on both ends to control vehicular flow.	整座橋都標示為單一車道，而且兩端都有交通號誌來控制車流。
The bridge was completed in 1928 by the NSW Department of Public Works and, although opened as a traffic bridge, it was designed to carry the loads required for a railway, once the Mildura railway line had been extended over the bridge.	這座橋由 NSW 公共工程部門在 1928 年完工，而且雖然開放作為交通橋，它原本的設計是在米爾杜拉鐵路線延伸至橋上之後，作為鐵路所需的負重乘載。
The line was never extended beyond Yelta, where the terminus remains to this day.	該路線從未延伸超過耶爾塔，也就是至今的終點站。
The location of the bridge was thought to be convenient, as it provided a link to the Sturt Highway without travelling farther upstream to Mildura.	這座橋的地點被認為相當便利，因為它提供與斯圖特公路的連結，不需向上行經更遠到米爾杜拉。
It is the only remaining steel truss bridge with a lift span on the Murray, although other lifting bridges still exist along the river.	雖然墨瑞河沿岸仍有其他升降橋，但它是河上唯一僅存具備升降節間的桁架橋。
The bridge was built after the decline in commercial river traffic on the Murray.	這座橋是在墨瑞河的商運河運量下降之後建造的。
Due to its significance to the local area, it has been listed on the NSW State Heritage Register.	因為它對當地區域具有重要性，已名列在 NSW 州遺產登記上。
The nearby town of Wentworth was an important river port from which wool was shipped to the coast, and as such there was a variety of traffic in the area.	附近的溫特沃斯市鎮是重要的河港，羊毛是從該河港運送到海岸，也因此該區域有許多種類的交通。
In the 1890s, irrigated farming greatly expanded in Sunraysia region which is known for its fruit production, and traffic volumes increased further.	在 1890 年代，灌溉農作在以其水果生產聞名的桑瑞西亞地區大幅擴展，交通量也進一步提高。
It was decided to install a punt at this location (then known as Abbot's Ford).	人們決定在此地點 (之後稱為艾伯茲弗德) 安裝平底船。
New South Wales and Victoria had signed an agreement towards constructing bridges for railways over the Murray to serve the settlements on the northern side.	新南威爾斯和維多利亞簽署了一項協議，為墨瑞河上的鐵路建造橋墩以服務北邊的聚落。
In 1923, a report was released that recommended going ahead with the building of four bridges, one of those being the future Abbotsford Bridge.	1923 年發表了一項報告建議繼續建造四座橋，其中一座就是日後的亞伯茲弗德橋。
It was said a bridge in this area would benefit Curlwaa, Wentworth, and a proposed irrigation scheme to the north.	據說此區域的橋會使庫爾瓦、溫特沃斯和北邊規劃的灌溉方案受益。
The cost was estimated at £78,000.	成本估計為 78,000 英鎊。
It had been considered that it might be appropriate to combine these four bridges with locks, but this idea was rejected due to siting concerns.	有人認為以水閘將這四座橋結合在一起可能是適當的，但是此構想因為選址問題而遭到否決。
In 1924, residents of nearby settlements urged construction of the railway line to the proposed bridge site, but they were told this extension of the line was to be delayed.	1924 年，附近聚落的居民極力主張建造通往提案橋址的鐵路線，但是被告知此路線的延伸有所延誤。
Within that year it was decided that a bridge was to be constructed due to increased traffic volume, and tenders were let for manufacture of the bridge spans, construction of abutments and piles, and transport of materials to the future construction site.	在那一年內，因為交通量的增加而決定建造一座橋，並針對橋跨的製造、橋座和樁的建造，以及對日後建造地點的物料運送等發包投標。
Achebe expanded this criticism when he presented a Chancellor's Lecture at Amherst on 18 February 1975, 'An Image of Africa: Racism in Conrad's "Heart of Darkness"'.	阿切貝在 1975 年 2 月 18 日於阿姆赫斯特進行「非洲印象：康拉德《黑暗之心》中的種族歧視」校長座談時詳述了這個評論。
Decrying Joseph Conrad as "a bloody racist", Achebe asserted that Conrad's famous novel dehumanises Africans, rendering Africa as "a metaphysical battlefield devoid of all recognisable humanity, into which the wandering European enters at his peril."	阿切貝譴責約瑟夫·康拉德是「該死的種族主義者」，且聲稱康拉德的知名小說使非洲人失去人性，將非洲描繪成「全然沒有任何可辨識之人性的抽象戰場」，而四處遊蕩的歐洲人自冒風險進入其中。
Achebe also discussed a quotation from Albert Schweitzer, a 1952 Nobel Peace Prize laureate: "That extraordinary missionary, Albert Schweitzer, who sacrificed brilliant careers in music and theology in Europe for a life of service to Africans in much the same area as Conrad writes about, epitomizes the ambivalence.	阿切貝也討論了來自 1952 年諾貝爾和平獎得主阿爾伯特·史懷哲的一段引言：「那位非凡的傳教士阿爾伯特·史懷哲，犧牲了在歐洲的音樂和神學等出色的事業，在幾乎與康拉德所寫的相同地區為非洲人奉獻一生，正體現了這種矛盾心態。
In a comment which has often been quoted Schweitzer says: 'The African is indeed my brother but my junior brother.' And so he proceeded to build a hospital appropriate to the needs of junior brothers with standards of hygiene reminiscent of medical practice in the days before the germ theory of disease came into being." Some were surprised that Achebe would challenge a man honoured in the West for his "reverence for life".	史懷哲在一段經常被引用的評論中說：『非洲人確實是我的兄弟，不過是我的學弟。』於是他運用疾病的細菌理論誕生前之醫療作法的懷舊衛生標準，開始建造適合學弟需求的醫院。」對於阿切貝挑戰一位因為「敬畏生命」在西方國家備受崇敬的男人，有些人感到相當驚訝。
The lecture caused a storm of controversy, even at the reception immediately following his talk.	這段演說引發激烈的爭議，甚至在他談話之後的接待會也是。
Many English professors in attendance were upset by his remarks; one elderly professor reportedly approached him, said: "How dare you!", and stormed away.	許多出席的英國教授對他的註解感到不滿；據報導，一位年長的教授走近他說：「你好大的膽子！」，然後怒氣沖沖地離開。
Another suggested that Achebe had "no sense of humour", but several days later Achebe was approached by a third professor, who told him: "I now realize that I had never really read Heart of Darkness although I have taught it for years." Although the lecture angered many of his colleagues, he was nevertheless presented later in 1975 with an honorary doctorate from the University of Stirling and the Lotus Prize for Afro-Asian Writers.	另一人指稱阿切貝「沒有幽默感」，但是幾天後第三位教授聯繫阿切貝，並告訴他：「我現在才發現我從未真正讀過《黑暗之心》，雖然我已經教了好多年。」雖然這場演說激怒了多位同仁，他之後仍在 1975 年獲頒斯特靈大學的榮譽博士以及亞非作家的荷花文學獎。
The first comprehensive rebuttal of Achebe's critique was published in 1983 by British critic Cedric Watts.	針對阿切貝的評論所提出的首次全面反駁在 1983 年由英國評論家塞德里克·沃茨發表。
His essay "A Bloody Racist: About Achebe's View of Conrad" defends Heart of Darkness as an anti-imperialist novel, suggesting that "part of its greatness lies in the power of its criticisms of racial prejudice." Palestinian–American theorist Edward Said agreed in his book Culture and Imperialism that Conrad criticised imperialism, but added: "As a creature of his time, Conrad could not grant the natives their freedom, despite his severe critique of the imperialism that enslaved them".	他的論文《該死的種族主義者：關於阿切貝對康拉德的觀點》以反帝國主義小說來捍衛《黑暗之心》，指出「其部分偉大之處在於它對種族偏見批評的力量。」巴勒斯坦裔美籍理論家愛德華·薩依德在他的《文化與帝國主義》一書中同意康拉德對帝國主義有所批評，但是補充說：「身為他所在時代的產物，儘管康拉德對奴役原住民的帝國主義有所嚴厲批評，也無法賦予他們自由」。
Building on Watts and Said, Nidesh Lawtoo argued that "underneath the first layer of straightforward opposition ... we find an underlying mimetic continuity between Conrad's colonial image of Africa [in Heart of Darkness] and Achebe's postcolonial representation" in Things Fall Apart.	繼沃茨和薩伊德之後，尼德許·勞圖主張，在《生命中不可承受之重》當中，「在第一層直接了當的反對意見之下……我們發現康拉德 [在《黑暗之心》中] 的非洲殖民印象與阿切貝的後殖民表述之間，有隱含在其中的模仿連貫性。
Achebe's criticism has become a mainstream perspective on Conrad's work.	阿切貝的批評已成為對於康拉德作品的主流觀點。
The essay was included in the 1988 Norton critical edition of Conrad's novel.	這篇論文被收入 1988 年康拉德小說的諾頓評論版中。
Editor Robert Kimbrough called it one of "the three most important events in Heart of Darkness criticism since the second edition of his book ..." Critic Nicolas Tredell divides Conrad criticism "into two epochal phases: before and after Achebe." Asked frequently about his essay, Achebe once explained that he never meant for the work to be abandoned: "It's not in my nature to talk about banning books.	主筆羅伯·金布羅將它稱為「自他的書籍第二版之後在《黑暗之心》評論方面最重要的三個事件之一……」評論家尼古拉斯·特雷德爾將康拉德評論劃分成「兩個劃時代階段：阿切貝之前和之後。」因為經常被問及有關他的論文，阿切貝曾經說明他從未意圖讓該作品遭到棄用：「我的本質並非討論禁止書籍。
I am saying, read it – with the kind of understanding and with the knowledge I talk about.	我的意思是，好好閱讀它──運用理解的本質和我提到的知識。
And read it beside African works." Interviewed on National Public Radio with Robert Siegel, in October 2009, Achebe remains consistent, although tempering this criticism in a discussion entitled "'Heart of Darkness' is inappropriate": "Conrad was a seductive writer.	並且以與非洲作品相比的方式來閱讀。」在全國公共廣播電台與羅伯特·西格爾訪談後，在 2009 年 10 月，阿切貝仍堅持己見，但是在一場名為「《黑暗之心》並不得當」的討論中將淡化了批評：「康拉德是引人注意的作家。
He could pull his reader into the fray.	他能夠將讀者引進紛爭。
And if it were not for what he said about me and my people, I would probably be thinking only of that seduction."	而且如果不是因為他對我和我的人民所做的評論，我可能只會想到那種誘因。」
When he returned to the University of Nigeria in 1976, he hoped to accomplish three goals: finish the novel he had been writing, renew the native publication of Okike, and further his study of Igbo culture.	1976 年返回奈及利亞大學時，他希望達成三個目標：完成他正在寫的小說、重做《奧基凱》的原生版，以及繼續深造他對伊博文化的研究。
He also showed that he would not restrict his criticism to European targets.	他也表明，他不會只將批評限制在歐洲的目標上。
In an August 1976 interview, he lashed out at the archetypal Nigerian intellectual, who is divorced from the intellect "but for two things: status and stomach.	在 1976 年 8 月的一場訪談中，他大力批評與知識界脫鉤的原型奈及利亞知識分子「不就是為了兩件事：地位和肚子。
On August 3, 2011, contestants Ricky Jaime and Sasha Mallory danced to "Schoolin Life" in Top 6 Perform round of the eighth season of the American television reality program and dance competition So You Think You Can Dance.	2011 年 8 月 3 日，參賽者瑞奇·傑米和薩夏·馬洛里在美國電視實境節目和舞蹈競賽《舞林爭霸》第八季的前 6 強表演回合中跳了《學校生活》。
Their dance performance was choreographed by Kumari Suraj.	他們的舞蹈表演是由庫馬里·蘇拉杰所編排。
Gwen Orel of The Wall Street Journal further described their performance during a review of that episode of the show: "He's in a fedora, and she's got a cute short swingy sheer skirt, with thigh high stockings and a garter belt, and a sheer purple blouse.	華爾街日報的葛溫·奧瑞爾在節目的該集評論中進一步形容了他們的表演：「他戴著紳士帽，她則是穿著一件可愛的搖擺透明短裙，搭配高度到大腿的長筒襪及吊襪帶，以及透明的紫色短上衣。
I don’t get what this style really is, it seems to have a lot of arm movements, and some crouching jumps.	我不懂這個風格到底是什麼，它似乎有大量的手臂動作和一些蹲跳。
He doesn’t look quite sharp enough next to her.	他在她旁邊看起來不夠顯眼。
His split leap is phenomenal."	他的分腿跳非常傑出。」
The base slab, or pylon, of the tomb monument rests on a 38-centimetre (15 in) high plinth, separated by a cornice and concave mouldings.	紀念墓的底板 (或稱為塔門) 坐落在 38 公分 (15 英吋) 的高基座上，由飛簷和凹面飾材分隔。
The pylon is 1.39 metres (4.56 ft) high and 2.02 metres (6.63 ft) wide, decorated with a frieze of winged angel heads (perhaps seraphim) and garlands and ribbons.	門塔為 1.39 公尺 (4.56 英呎) 高和 2.02 公尺 (6.63 英呎) 寬，以帶翅膀的天使頭部 (可能是熾天使) 飾帶、花環和緞帶裝飾。
Above the pylon, separated by the cornice, are the three Virtues—from left to right, Faith, Charity, and Hope—in shell niches, separated by four Corinthian fluted pilasters.	在門塔上方，由飛簷所分隔的是貝殼壁龕內的三個德天使，由左至右為「信」、「望」和「愛」，以科林斯柱式波形壁柱區隔。
Such a motif is unprecedented in Tuscan funerary sculpture but found at this date in Venice, Padua, and especially Cossa's native Naples.	這種裝飾圖案在托斯坎喪葬雕塑中前所未見，但當時在威尼斯、帕多瓦以及特別是科薩的出生地拿坡里都有發現。
As a result, excursions to Venice have been suggested for both Michelozzo and Donatello.	因此，米開羅佐和多那太羅兩人獲建議到威尼斯進行短程旅行。
However, Janson suggests that one "need not go all the way to Venice" to find such motifs.	但是，簡森建議「不需要大老遠前往威尼斯」尋找這類裝飾圖案。
Outside Florence, Virtues were common on tombs, with the cardinal Virtues used for laymen, and the theological virtues reserved for ecclesiastics, including the Brancaccio tomb.	在佛羅倫斯之外，德天使在墳墓上相當常見 (平信徒使用樞德)，三超德則是保留為傳教士使用，包括布蘭卡奇樞機墓。
However, the Cossa Virtues, from their hair to their sandals, are more thoroughly antique.	但是，科薩德天使從頭髮到涼鞋是更徹底的古希臘和古羅馬風格。
Donatello also produced two similar bronze Virtues for the Siena Baptistry, whose chronological relationship to the Cossa Virtues is unclear.	多那太羅也為錫耶納洗禮堂製作了兩座類似的銅製德天使，它們與科薩德天使的時序關係不得而知。
The 1.05-metre (3.44 ft) tall Faith, to the right of Charity, is holding a Eucharistic chalice; the 1.07-metre (3.51 ft) tall Charity is holding a cornucopia and a brazier (or flaming vase); and the 1.06-metre (3.48 ft) tall Hope, to the left of Charity, has hands clasped in prayer.	在「愛」右邊 1.05 公尺 (3.44 英呎) 高的「信」拿著聖體聖杯；1.07 公尺 (3.51 英呎) 高的「愛」拿著豐裕之角和火盆 (或火瓶)；而在「愛」左邊 1.06 公尺 (3.48 英呎) 高的「望」則是雙手合十。
The central figure of Charity is the most antique, assimilating elements of Classical depictions of Abundantia, Ceres, and Juno, all of which were depicted with cornucopias in their left hands.	中間的人物「愛」最具古希臘和古羅馬藝術風格，吸收了阿布恩丹提亞、瑟雷斯和朱諾的經典描繪元素，而且上述所有的描繪都是左手拿著豐裕之角。
Besides underscoring the antiquity of the tomb monument, the main purpose of the tall yet poorly finished Virtues is to put additional vertical distance between the viewer and the effigy, which has the cumulative effect of de-emphasizing the peculiarities of Cossa, in favor of a generic pontiff (i.e. a potential line of Florentine popes), by blunting the "immediacy" of the trope of lying in state, which was otherwise dominant on Quattrocento wall tombs.	除了強調紀念墓的古希臘和古羅馬藝術風格以外，這座高聳但潤飾不足的德天使，主要是為了在觀賞者和雕像之間增添額外的垂直距離，透過減弱死者平躺狀態象徵的「既視感」(這在文藝復興壁墓中是主流)，對於淡化科薩的奇特性、對總主教的支持 (亦即潛在的佛羅倫斯教宗路線) 有加成效果。
On top of the sarcophagus, the bier of the effigy is supported by lions whose shape mimics Trecento consoles.	在石棺上方，雕像的棺架是由外型模仿十四世紀螺形支架的獅子所支撐。
The lions may be based on the Florentine Marzocco, as if to mark John XXIII in the same manner as a conquered city-state.	這些獅子可能是以佛羅倫斯紋章獅子為基準樣式，彷彿以相同方式將若望二十三世標記為征服的城邦。
